time,SST (degrees Celsius),standard error (degrees Celsius)
31/12/2019 12.00,7.306,0.222
01/01/2020 12.00,7.306,0.222
02/01/2020 12.00,7.671,0.228
03/01/2020 12.00,7.691,0.22
04/01/2020 12.00,7.671,0.22
05/01/2020 12.00,7.651,0.24
06/01/2020 12.00,7.717,0.251
07/01/2020 12.00,7.738,0.22
08/01/2020 12.00,7.757,0.23
09/01/2020 12.00,7.807,0.23
10/01/2020 12.00,7.819,0.22
11/01/2020 12.00,7.671,0.22
12/01/2020 12.00,7.623,0.22
13/01/2020 12.00,7.644,0.22
14/01/2020 12.00,7.545,0.23
15/01/2020 12.00,7.233,0.22
16/01/2020 12.00,6.926,0.27
17/01/2020 12.00,7.618,0.22
18/01/2020 12.00,7.689,0.22
19/01/2020 12.00,7.57,0.24
20/01/2020 12.00,7.472,0.22
21/01/2020 12.00,7.431,0.22
22/01/2020 12.00,7.153,0.23
23/01/2020 12.00,6.852,0.22
24/01/2020 12.00,6.832,0.28
25/01/2020 12.00,7.012,0.272
26/01/2020 12.00,7.526,0.28
27/01/2020 12.00,7.615,0.26
28/01/2020 12.00,7.565,0.252
29/01/2020 12.00,7.496,0.22
30/01/2020 12.00,7.477,0.232
31/01/2020 12.00,7.458,0.22
01/02/2020 12.00,7.49,0.24
02/02/2020 12.00,7.51,0.22
03/02/2020 12.00,7.486,0.22
04/02/2020 12.00,7.513,0.22
05/02/2020 12.00,7.51,0.24
06/02/2020 12.00,7.42,0.23
07/02/2020 12.00,7.333,0.23
08/02/2020 12.00,7.323,0.24
09/02/2020 12.00,7.303,0.25
10/02/2020 12.00,7.253,0.22
11/02/2020 12.00,7.233,0.242
12/02/2020 12.00,7.139,0.322
13/02/2020 12.00,7.101,0.32
14/02/2020 12.00,7.013,0.44
15/02/2020 12.00,6.971,0.29
16/02/2020 12.00,7.101,0.22
17/02/2020 12.00,7.209,0.22
18/02/2020 12.00,7.318,0.22
19/02/2020 12.00,7.33,0.23
20/02/2020 12.00,7.319,0.25
21/02/2020 12.00,7.208,0.22
22/02/2020 12.00,7.18,0.22
23/02/2020 12.00,7.162,0.22
24/02/2020 12.00,7.153,0.23
25/02/2020 12.00,7.012,0.3
26/02/2020 12.00,6.99,0.29
27/02/2020 12.00,6.949,0.25
28/02/2020 12.00,6.869,0.22
29/02/2020 12.00,6.877,0.26
01/03/2020 12.00,6.95,0.2
02/03/2020 12.00,7.007,0.21
03/03/2020 12.00,7.028,0.2
04/03/2020 12.00,7.068,0.2
05/03/2020 12.00,6.969,0.2
06/03/2020 12.00,6.908,0.2
07/03/2020 12.00,6.949,0.2
08/03/2020 12.00,7.031,0.2
09/03/2020 12.00,7.018,0.2
10/03/2020 12.00,6.988,0.2
11/03/2020 12.00,6.967,0.2
12/03/2020 12.00,6.899,0.2
13/03/2020 12.00,6.87,0.2
14/03/2020 12.00,6.85,0.21
15/03/2020 12.00,6.888,0.2
16/03/2020 12.00,6.888,0.2
17/03/2020 12.00,6.948,0.21
18/03/2020 12.00,6.919,0.21
19/03/2020 12.00,6.929,0.2
20/03/2020 12.00,6.919,0.2
21/03/2020 12.00,6.903,0.2
22/03/2020 12.00,6.864,0.2
23/03/2020 12.00,6.644,0.39
24/03/2020 12.00,6.775,0.2
25/03/2020 12.00,6.777,0.2
26/03/2020 12.00,6.909,0.2
27/03/2020 12.00,7.019,0.2
28/03/2020 12.00,6.997,0.2
29/03/2020 12.00,6.879,0.2
30/03/2020 12.00,6.92,0.2
31/03/2020 12.00,6.939,0.2
01/04/2020 12.00,6.929,0.2
02/04/2020 12.00,6.871,0.2
03/04/2020 12.00,6.851,0.2
04/04/2020 12.00,6.751,0.2
05/04/2020 12.00,6.918,0.2
06/04/2020 12.00,7.051,0.21
07/04/2020 12.00,7.023,0.21
08/04/2020 12.00,6.755,0.21
09/04/2020 12.00,6.865,0.23
10/04/2020 12.00,6.934,0.2
11/04/2020 12.00,7.203,0.22
12/04/2020 12.00,7.253,0.22
13/04/2020 12.00,7.242,0.22
14/04/2020 12.00,7.241,0.21
15/04/2020 12.00,7.423,0.2
16/04/2020 12.00,7.462,0.2
17/04/2020 12.00,7.482,0.2
18/04/2020 12.00,7.802,0.2
19/04/2020 12.00,7.952,0.2
20/04/2020 12.00,8.069,0.2
21/04/2020 12.00,8.241,0.2
22/04/2020 12.00,8.567,0.2
23/04/2020 12.00,8.583,0.2
24/04/2020 12.00,8.388,0.21
25/04/2020 12.00,8.16,0.2
26/04/2020 12.00,8.061,0.21
27/04/2020 12.00,8.091,0.21
28/04/2020 12.00,8.091,0.21
29/04/2020 12.00,8.139,0.24
30/04/2020 12.00,8.109,0.2
01/05/2020 12.00,8.207,0.2
02/05/2020 12.00,8.321,0.2
03/05/2020 12.00,8.476,0.2
04/05/2020 12.00,8.514,0.2
05/05/2020 12.00,8.641,0.2
06/05/2020 12.00,8.853,0.21
07/05/2020 12.00,8.911,0.21
08/05/2020 12.00,8.951,0.21
09/05/2020 12.00,8.596,0.2
10/05/2020 12.00,8.405,0.21
11/05/2020 12.00,8.292,0.24
12/05/2020 12.00,8.255,0.2
13/05/2020 12.00,8.274,0.2
14/05/2020 12.00,8.322,0.2
15/05/2020 12.00,8.223,0.222
16/05/2020 12.00,8.221,0.24
17/05/2020 12.00,8.199,0.262
18/05/2020 12.00,9.165,0.21
19/05/2020 12.00,9.046,0.2
20/05/2020 12.00,9.053,0.2
21/05/2020 12.00,8.91,0.212
22/05/2020 12.00,8.895,0.2
23/05/2020 12.00,9.003,0.2
24/05/2020 12.00,9.217,0.2
25/05/2020 12.00,9.338,0.21
26/05/2020 12.00,10.053,0.2
27/05/2020 12.00,9.985,0.2
28/05/2020 12.00,10.092,0.2
29/05/2020 12.00,11.161,0.21
30/05/2020 12.00,12.469,0.208
31/05/2020 12.00,12.587,0.2
01/06/2020 12.00,12.733,0.3
02/06/2020 12.00,13.056,0.3
03/06/2020 12.00,13.299,0.3
04/06/2020 12.00,11.669,0.3
05/06/2020 12.00,10.875,0.3
06/06/2020 12.00,10.752,0.32
07/06/2020 12.00,10.814,0.3
08/06/2020 12.00,10.415,0.3
09/06/2020 12.00,10.45,0.3
10/06/2020 12.00,10.749,0.32
11/06/2020 12.00,10.921,0.3
12/06/2020 12.00,10.885,0.31
13/06/2020 12.00,11.178,0.31
14/06/2020 12.00,11.267,0.3
15/06/2020 12.00,11.812,0.3
16/06/2020 12.00,13.725,0.3
17/06/2020 12.00,14.697,0.3
18/06/2020 12.00,14.368,0.41
19/06/2020 12.00,13.875,0.31
20/06/2020 12.00,13.819,0.3
21/06/2020 12.00,13.05,0.31
22/06/2020 12.00,12.801,0.3
23/06/2020 12.00,13.79,0.3
24/06/2020 12.00,14.518,0.31
25/06/2020 12.00,14.963,0.3
26/06/2020 12.00,15.212,0.31
27/06/2020 12.00,15.213,0.3
28/06/2020 12.00,14.76,0.31
29/06/2020 12.00,14.372,0.3
30/06/2020 12.00,13.873,0.32
01/07/2020 12.00,14.095,0.31
02/07/2020 12.00,14.267,0.3
03/07/2020 12.00,14.297,0.3
04/07/2020 12.00,12.725,0.33
05/07/2020 12.00,12.76,0.3
06/07/2020 12.00,12.73,0.3
07/07/2020 12.00,12.642,0.3
08/07/2020 12.00,13.106,0.3
09/07/2020 12.00,13.32,0.3
10/07/2020 12.00,13.745,0.32
11/07/2020 12.00,14.107,0.3
12/07/2020 12.00,14.129,0.3
13/07/2020 12.00,14.029,0.31
14/07/2020 12.00,14.59,0.31
15/07/2020 12.00,14.446,0.33
16/07/2020 12.00,14.323,0.32
17/07/2020 12.00,14.482,0.3
18/07/2020 12.00,14.591,0.32
19/07/2020 12.00,14.608,0.3
20/07/2020 12.00,14.921,0.31
21/07/2020 12.00,14.966,0.32
22/07/2020 12.00,14.984,0.3
23/07/2020 12.00,14.948,0.3
24/07/2020 12.00,14.938,0.32
25/07/2020 12.00,14.977,0.3
26/07/2020 12.00,15.277,0.3
27/07/2020 12.00,15.177,0.31
28/07/2020 12.00,13.556,0.392
29/07/2020 12.00,13.095,0.3
30/07/2020 12.00,13.036,0.31
31/07/2020 12.00,13.013,0.3
01/08/2020 12.00,13.047,0.32
02/08/2020 12.00,14.171,0.3
03/08/2020 12.00,14.319,0.312
04/08/2020 12.00,14.26,0.32
05/08/2020 12.00,14.081,0.33
06/08/2020 12.00,14.181,0.3
07/08/2020 12.00,14.331,0.32
08/08/2020 12.00,14.629,0.31
09/08/2020 12.00,14.749,0.3
10/08/2020 12.00,14.861,0.3
11/08/2020 12.00,15.037,0.3
12/08/2020 12.00,15.146,0.32
13/08/2020 12.00,15.296,0.3
14/08/2020 12.00,15.313,0.31
15/08/2020 12.00,15.353,0.3
16/08/2020 12.00,15.168,0.3
17/08/2020 12.00,14.865,0.3
18/08/2020 12.00,14.847,0.31
19/08/2020 12.00,16.15,0.3
20/08/2020 12.00,16.064,0.3
21/08/2020 12.00,15.893,0.3
22/08/2020 12.00,15.644,0.32
23/08/2020 12.00,15.443,0.32
24/08/2020 12.00,15.372,0.3
25/08/2020 12.00,15.412,0.31
26/08/2020 12.00,14.776,0.32
27/08/2020 12.00,14.84,0.3
28/08/2020 12.00,14.86,0.3
29/08/2020 12.00,15.106,0.31
30/08/2020 12.00,15.135,0.31
31/08/2020 12.00,15.066,0.3
01/09/2020 12.00,15.02,0.2
02/09/2020 12.00,15.02,0.2
03/09/2020 12.00,15.02,0.2
04/09/2020 12.00,15.028,0.2
05/09/2020 12.00,14.969,0.212
06/09/2020 12.00,14.767,0.2
07/09/2020 12.00,14.669,0.2
08/09/2020 12.00,14.059,0.2
09/09/2020 12.00,14.068,0.2
10/09/2020 12.00,14.088,0.21
11/09/2020 12.00,13.756,0.21
12/09/2020 12.00,13.729,0.2
13/09/2020 12.00,13.717,0.21
14/09/2020 12.00,13.708,0.2
15/09/2020 12.00,13.601,0.2
16/09/2020 12.00,13.635,0.2
17/09/2020 12.00,13.647,0.21
18/09/2020 12.00,13.625,0.2
19/09/2020 12.00,13.621,0.2
20/09/2020 12.00,13.559,0.208
21/09/2020 12.00,13.477,0.209
22/09/2020 12.00,13.378,0.2
23/09/2020 12.00,13.389,0.22
24/09/2020 12.00,13.401,0.21
25/09/2020 12.00,13.17,0.2
26/09/2020 12.00,12.912,0.2
27/09/2020 12.00,12.902,0.21
28/09/2020 12.00,13.011,0.2
29/09/2020 12.00,13.021,0.2
30/09/2020 12.00,13.003,0.2
01/10/2020 12.00,12.892,0.24
02/10/2020 12.00,12.882,0.25
03/10/2020 12.00,12.862,0.23
04/10/2020 12.00,12.915,0.2
05/10/2020 12.00,12.884,0.2
06/10/2020 12.00,13.148,0.2
07/10/2020 12.00,13.202,0.22
08/10/2020 12.00,13.161,0.2
09/10/2020 12.00,12.778,0.2
10/10/2020 12.00,12.182,0.218
11/10/2020 12.00,12.126,0.2
12/10/2020 12.00,12.067,0.22
13/10/2020 12.00,12.048,0.22
14/10/2020 12.00,12.019,0.2
15/10/2020 12.00,11.969,0.2
16/10/2020 12.00,11.908,0.21
17/10/2020 12.00,11.89,0.22
18/10/2020 12.00,11.798,0.27
19/10/2020 12.00,11.428,0.34
20/10/2020 12.00,11.366,0.33
21/10/2020 12.00,11.334,0.3
22/10/2020 12.00,11.324,0.29
23/10/2020 12.00,11.334,0.29
24/10/2020 12.00,11.293,0.2
25/10/2020 12.00,11.316,0.2
26/10/2020 12.00,11.304,0.21
27/10/2020 12.00,11.045,0.2
28/10/2020 12.00,10.767,0.2
29/10/2020 12.00,10.758,0.21
30/10/2020 12.00,10.639,0.2
31/10/2020 12.00,10.517,0.22
01/11/2020 12.00,10.437,0.2
02/11/2020 12.00,10.419,0.2
03/11/2020 12.00,10.351,0.2
04/11/2020 12.00,10.276,0.2
05/11/2020 12.00,10.039,0.21
06/11/2020 12.00,10.137,0.21
07/11/2020 12.00,10.198,0.2
08/11/2020 12.00,10.387,0.2
09/11/2020 12.00,10.233,0.24
10/11/2020 12.00,10.074,0.492
11/11/2020 12.00,10.364,0.39
12/11/2020 12.00,9.866,0.21
13/11/2020 12.00,9.866,0.22
14/11/2020 12.00,9.856,0.2
15/11/2020 12.00,9.646,0.312
16/11/2020 12.00,9.676,0.33
17/11/2020 12.00,9.79,0.22
18/11/2020 12.00,9.712,0.2
19/11/2020 12.00,9.625,0.2
20/11/2020 12.00,9.378,0.21
21/11/2020 12.00,9.396,0.21
22/11/2020 12.00,9.418,0.2
23/11/2020 12.00,9.468,0.2
24/11/2020 12.00,9.358,0.2
25/11/2020 12.00,9.439,0.2
26/11/2020 12.00,9.359,0.2
27/11/2020 12.00,9.289,0.2
28/11/2020 12.00,9.248,0.2
29/11/2020 12.00,9.207,0.2
30/11/2020 12.00,9.27,0.21
01/12/2020 12.00,9.269,0.23
02/12/2020 12.00,9.25,0.23
03/12/2020 12.00,9.278,0.262
04/12/2020 12.00,9.238,0.462
05/12/2020 12.00,8.905,0.22
06/12/2020 12.00,8.993,0.22
07/12/2020 12.00,8.991,0.25
08/12/2020 12.00,8.971,0.248
09/12/2020 12.00,8.942,0.22
10/12/2020 12.00,8.842,0.28
11/12/2020 12.00,8.823,0.292
12/12/2020 12.00,8.751,0.55
13/12/2020 12.00,8.622,0.22
14/12/2020 12.00,8.634,0.22
15/12/2020 12.00,8.602,0.22
16/12/2020 12.00,8.483,0.22
17/12/2020 12.00,8.393,0.22
18/12/2020 12.00,8.513,0.22
19/12/2020 12.00,8.563,0.24
20/12/2020 12.00,8.583,0.22
21/12/2020 12.00,8.026,0.23
22/12/2020 12.00,7.937,0.22
23/12/2020 12.00,8.083,0.22
24/12/2020 12.00,8.181,0.22
25/12/2020 12.00,8.128,0.23
26/12/2020 12.00,8.166,0.24
27/12/2020 12.00,7.977,0.24
28/12/2020 12.00,7.997,0.22
29/12/2020 12.00,7.975,0.228
30/12/2020 12.00,8.034,0.22
31/12/2020 12.00,8.056,0.222
01/01/2021 12.00,8.044,0.24
02/01/2021 12.00,7.956,0.24
03/01/2021 12.00,7.854,0.26
04/01/2021 12.00,7.863,0.24
05/01/2021 12.00,7.714,0.23
06/01/2021 12.00,7.62,0.24
07/01/2021 12.00,7.546,0.22
08/01/2021 12.00,7.516,0.22
09/01/2021 12.00,7.451,0.22
10/01/2021 12.00,7.496,0.22
11/01/2021 12.00,7.505,0.23
12/01/2021 12.00,7.493,0.23
13/01/2021 12.00,7.434,0.232
14/01/2021 12.00,7.394,0.24
15/01/2021 12.00,7.406,0.22
16/01/2021 12.00,7.398,0.22
17/01/2021 12.00,7.327,0.22
18/01/2021 12.00,7.284,0.23
19/01/2021 12.00,7.273,0.22
20/01/2021 12.00,7.265,0.24
21/01/2021 12.00,7.525,0.372
22/01/2021 12.00,7.197,0.22
23/01/2021 12.00,7.053,0.22
24/01/2021 12.00,7.022,0.23
25/01/2021 12.00,7.031,0.22
26/01/2021 12.00,7.014,0.22
27/01/2021 12.00,6.876,0.23
28/01/2021 12.00,6.876,0.232
29/01/2021 12.00,6.739,0.22
30/01/2021 12.00,6.771,0.23
31/01/2021 12.00,6.75,0.22
01/02/2021 12.00,6.732,0.22
02/02/2021 12.00,6.732,0.22
03/02/2021 12.00,6.68,0.24
04/02/2021 12.00,6.64,0.37
05/02/2021 12.00,6.68,0.4
06/02/2021 12.00,6.37,0.22
07/02/2021 12.00,6.228,0.322
08/02/2021 12.00,5.95,0.29
09/02/2021 12.00,5.563,0.22
10/02/2021 12.00,5.622,0.23
11/02/2021 12.00,5.452,0.23
12/02/2021 12.00,5.38,0.22
13/02/2021 12.00,5.408,0.23
14/02/2021 12.00,5.38,0.23
15/02/2021 12.00,5.851,0.412
16/02/2021 12.00,5.579,0.35
17/02/2021 12.00,5.337,0.31
18/02/2021 12.00,5.339,0.22
19/02/2021 12.00,5.358,0.27
20/02/2021 12.00,5.022,0.23
21/02/2021 12.00,5.203,0.23
22/02/2021 12.00,5.331,0.22
23/02/2021 12.00,5.331,0.24
24/02/2021 12.00,5.417,0.22
25/02/2021 12.00,5.387,0.23
26/02/2021 12.00,5.428,0.23
27/02/2021 12.00,5.495,0.22
28/02/2021 12.00,5.586,0.23
01/03/2021 12.00,5.646,0.202
02/03/2021 12.00,5.693,0.2
03/03/2021 12.00,5.534,0.2
04/03/2021 12.00,5.543,0.2
05/03/2021 12.00,5.614,0.212
06/03/2021 12.00,5.602,0.21
07/03/2021 12.00,5.626,0.2
08/03/2021 12.00,5.771,0.25
09/03/2021 12.00,5.753,0.23
10/03/2021 12.00,5.667,0.222
11/03/2021 12.00,5.497,0.2
12/03/2021 12.00,5.636,0.2
13/03/2021 12.00,5.666,0.21
14/03/2021 12.00,5.658,0.2
15/03/2021 12.00,5.633,0.21
16/03/2021 12.00,5.706,0.2
17/03/2021 12.00,5.756,0.21
18/03/2021 12.00,5.756,0.2
19/03/2021 12.00,5.762,0.2
20/03/2021 12.00,5.485,0.23
21/03/2021 12.00,5.352,0.2
22/03/2021 12.00,5.467,0.22
23/03/2021 12.00,6.299,0.22
24/03/2021 12.00,6.316,0.2
25/03/2021 12.00,6.327,0.2
26/03/2021 12.00,6.328,0.2
27/03/2021 12.00,6.29,0.2
28/03/2021 12.00,6.338,0.2
29/03/2021 12.00,6.348,0.2
30/03/2021 12.00,6.339,0.2
31/03/2021 12.00,6.347,0.2
01/04/2021 12.00,6.455,0.2
02/04/2021 12.00,6.447,0.21
03/04/2021 12.00,6.399,0.21
04/04/2021 12.00,6.498,0.2
05/04/2021 12.00,6.655,0.2
06/04/2021 12.00,6.672,0.2
07/04/2021 12.00,6.644,0.2
08/04/2021 12.00,6.66,0.2
09/04/2021 12.00,6.692,0.2
10/04/2021 12.00,6.692,0.2
11/04/2021 12.00,6.672,0.2
12/04/2021 12.00,6.624,0.2
13/04/2021 12.00,6.653,0.2
14/04/2021 12.00,6.91,0.2
15/04/2021 12.00,6.971,0.21
16/04/2021 12.00,7.083,0.2
17/04/2021 12.00,7.263,0.2
18/04/2021 12.00,7.55,0.2
19/04/2021 12.00,7.738,0.21
20/04/2021 12.00,7.748,0.21
21/04/2021 12.00,7.499,0.2
22/04/2021 12.00,7.043,0.2
23/04/2021 12.00,7.113,0.2
24/04/2021 12.00,7.156,0.2
25/04/2021 12.00,7.106,0.21
26/04/2021 12.00,7.351,0.21
27/04/2021 12.00,7.533,0.21
28/04/2021 12.00,7.581,0.2
29/04/2021 12.00,7.653,0.21
30/04/2021 12.00,7.667,0.2
01/05/2021 12.00,7.704,0.2
02/05/2021 12.00,7.851,0.2
03/05/2021 12.00,7.901,0.2
04/05/2021 12.00,7.98,0.2
05/05/2021 12.00,7.422,0.302
06/05/2021 12.00,7.749,0.2
07/05/2021 12.00,7.68,0.2
08/05/2021 12.00,7.658,0.2
09/05/2021 12.00,7.692,0.22
10/05/2021 12.00,7.735,0.22
11/05/2021 12.00,7.965,0.21
12/05/2021 12.00,8.401,0.2
13/05/2021 12.00,8.588,0.2
14/05/2021 12.00,8.649,0.42
15/05/2021 12.00,8.807,0.312
16/05/2021 12.00,8.888,0.23
17/05/2021 12.00,9.166,0.21
18/05/2021 12.00,8.842,0.2
19/05/2021 12.00,8.902,0.2
20/05/2021 12.00,8.962,0.22
21/05/2021 12.00,8.97,0.2
22/05/2021 12.00,8.229,0.28
23/05/2021 12.00,8.746,0.208
24/05/2021 12.00,8.793,0.21
25/05/2021 12.00,8.873,0.208
26/05/2021 12.00,9.328,0.22
27/05/2021 12.00,9.449,0.2
28/05/2021 12.00,9.39,0.21
29/05/2021 12.00,9.41,0.21
30/05/2021 12.00,9.456,0.2
31/05/2021 12.00,10.927,0.2
01/06/2021 12.00,10.709,0.3
02/06/2021 12.00,10.59,0.3
03/06/2021 12.00,10.459,0.3
04/06/2021 12.00,10.549,0.31
05/06/2021 12.00,11.674,0.32
06/06/2021 12.00,11.854,0.3
07/06/2021 12.00,12.818,0.31
08/06/2021 12.00,12.877,0.31
09/06/2021 12.00,12.906,0.3
10/06/2021 12.00,13.035,0.3
11/06/2021 12.00,12.939,0.3
12/06/2021 12.00,13.027,0.31
13/06/2021 12.00,12.913,0.3
14/06/2021 12.00,13.004,0.3
15/06/2021 12.00,13.144,0.3
16/06/2021 12.00,13.274,0.32
17/06/2021 12.00,13.376,0.3
18/06/2021 12.00,13.356,0.32
19/06/2021 12.00,13.355,0.3
20/06/2021 12.00,13.147,0.3
21/06/2021 12.00,13.138,0.3
22/06/2021 12.00,13.307,0.3
23/06/2021 12.00,13.459,0.3
24/06/2021 12.00,13.479,0.3
