#time	SST (degrees Celsius)	standard error (degrees Celsius)
2019-12-31 12:00:00	7.306	0.222
2020-01-01 12:00:00	7.306	0.222
2020-01-02 12:00:00	7.671	0.228
2020-01-03 12:00:00	7.691	0.220
2020-01-04 12:00:00	7.671	0.220
2020-01-05 12:00:00	7.651	0.240
2020-01-06 12:00:00	7.717	0.251
2020-01-07 12:00:00	7.738	0.220
2020-01-08 12:00:00	7.757	0.230
2020-01-09 12:00:00	7.807	0.230
2020-01-10 12:00:00	7.819	0.220
2020-01-11 12:00:00	7.671	0.220
2020-01-12 12:00:00	7.623	0.220
2020-01-13 12:00:00	7.644	0.220
2020-01-14 12:00:00	7.545	0.230
2020-01-15 12:00:00	7.233	0.220
2020-01-16 12:00:00	6.926	0.270
2020-01-17 12:00:00	7.618	0.220
2020-01-18 12:00:00	7.689	0.220
2020-01-19 12:00:00	7.570	0.240
2020-01-20 12:00:00	7.472	0.220
2020-01-21 12:00:00	7.431	0.220
2020-01-22 12:00:00	7.153	0.230
2020-01-23 12:00:00	6.852	0.220
2020-01-24 12:00:00	6.832	0.280
2020-01-25 12:00:00	7.012	0.272
2020-01-26 12:00:00	7.526	0.280
2020-01-27 12:00:00	7.615	0.260
2020-01-28 12:00:00	7.565	0.252
2020-01-29 12:00:00	7.496	0.220
2020-01-30 12:00:00	7.477	0.232
2020-01-31 12:00:00	7.458	0.220
2020-02-01 12:00:00	7.490	0.240
2020-02-02 12:00:00	7.510	0.220
2020-02-03 12:00:00	7.486	0.220
2020-02-04 12:00:00	7.513	0.220
2020-02-05 12:00:00	7.510	0.240
2020-02-06 12:00:00	7.420	0.230
2020-02-07 12:00:00	7.333	0.230
2020-02-08 12:00:00	7.323	0.240
2020-02-09 12:00:00	7.303	0.250
2020-02-10 12:00:00	7.253	0.220
2020-02-11 12:00:00	7.233	0.242
2020-02-12 12:00:00	7.139	0.322
2020-02-13 12:00:00	7.101	0.320
2020-02-14 12:00:00	7.013	0.440
2020-02-15 12:00:00	6.971	0.290
2020-02-16 12:00:00	7.101	0.220
2020-02-17 12:00:00	7.209	0.220
2020-02-18 12:00:00	7.318	0.220
2020-02-19 12:00:00	7.330	0.230
2020-02-20 12:00:00	7.319	0.250
2020-02-21 12:00:00	7.208	0.220
2020-02-22 12:00:00	7.180	0.220
2020-02-23 12:00:00	7.162	0.220
2020-02-24 12:00:00	7.153	0.230
2020-02-25 12:00:00	7.012	0.300
2020-02-26 12:00:00	6.990	0.290
2020-02-27 12:00:00	6.949	0.250
2020-02-28 12:00:00	6.869	0.220
2020-02-29 12:00:00	6.877	0.260
2020-03-01 12:00:00	6.950	0.200
2020-03-02 12:00:00	7.007	0.210
2020-03-03 12:00:00	7.028	0.200
2020-03-04 12:00:00	7.068	0.200
2020-03-05 12:00:00	6.969	0.200
2020-03-06 12:00:00	6.908	0.200
2020-03-07 12:00:00	6.949	0.200
2020-03-08 12:00:00	7.031	0.200
2020-03-09 12:00:00	7.018	0.200
2020-03-10 12:00:00	6.988	0.200
2020-03-11 12:00:00	6.967	0.200
2020-03-12 12:00:00	6.899	0.200
2020-03-13 12:00:00	6.870	0.200
2020-03-14 12:00:00	6.850	0.210
2020-03-15 12:00:00	6.888	0.200
2020-03-16 12:00:00	6.888	0.200
2020-03-17 12:00:00	6.948	0.210
2020-03-18 12:00:00	6.919	0.210
2020-03-19 12:00:00	6.929	0.200
2020-03-20 12:00:00	6.919	0.200
2020-03-21 12:00:00	6.903	0.200
2020-03-22 12:00:00	6.864	0.200
2020-03-23 12:00:00	6.644	0.390
2020-03-24 12:00:00	6.775	0.200
2020-03-25 12:00:00	6.777	0.200
2020-03-26 12:00:00	6.909	0.200
2020-03-27 12:00:00	7.019	0.200
2020-03-28 12:00:00	6.997	0.200
2020-03-29 12:00:00	6.879	0.200
2020-03-30 12:00:00	6.920	0.200
2020-03-31 12:00:00	6.939	0.200
2020-04-01 12:00:00	6.929	0.200
2020-04-02 12:00:00	6.871	0.200
2020-04-03 12:00:00	6.851	0.200
2020-04-04 12:00:00	6.751	0.200
2020-04-05 12:00:00	6.918	0.200
2020-04-06 12:00:00	7.051	0.210
2020-04-07 12:00:00	7.023	0.210
2020-04-08 12:00:00	6.755	0.210
2020-04-09 12:00:00	6.865	0.230
2020-04-10 12:00:00	6.934	0.200
2020-04-11 12:00:00	7.203	0.220
2020-04-12 12:00:00	7.253	0.220
2020-04-13 12:00:00	7.242	0.220
2020-04-14 12:00:00	7.241	0.210
2020-04-15 12:00:00	7.423	0.200
2020-04-16 12:00:00	7.462	0.200
2020-04-17 12:00:00	7.482	0.200
2020-04-18 12:00:00	7.802	0.200
2020-04-19 12:00:00	7.952	0.200
2020-04-20 12:00:00	8.069	0.200
2020-04-21 12:00:00	8.241	0.200
2020-04-22 12:00:00	8.567	0.200
2020-04-23 12:00:00	8.583	0.200
2020-04-24 12:00:00	8.388	0.210
2020-04-25 12:00:00	8.160	0.200
2020-04-26 12:00:00	8.061	0.210
2020-04-27 12:00:00	8.091	0.210
2020-04-28 12:00:00	8.091	0.210
2020-04-29 12:00:00	8.139	0.240
2020-04-30 12:00:00	8.109	0.200
2020-05-01 12:00:00	8.207	0.200
2020-05-02 12:00:00	8.321	0.200
2020-05-03 12:00:00	8.476	0.200
2020-05-04 12:00:00	8.514	0.200
2020-05-05 12:00:00	8.641	0.200
2020-05-06 12:00:00	8.853	0.210
2020-05-07 12:00:00	8.911	0.210
2020-05-08 12:00:00	8.951	0.210
2020-05-09 12:00:00	8.596	0.200
2020-05-10 12:00:00	8.405	0.210
2020-05-11 12:00:00	8.292	0.240
2020-05-12 12:00:00	8.255	0.200
2020-05-13 12:00:00	8.274	0.200
2020-05-14 12:00:00	8.322	0.200
2020-05-15 12:00:00	8.223	0.222
2020-05-16 12:00:00	8.221	0.240
2020-05-17 12:00:00	8.199	0.262
2020-05-18 12:00:00	9.165	0.210
2020-05-19 12:00:00	9.046	0.200
2020-05-20 12:00:00	9.053	0.200
2020-05-21 12:00:00	8.910	0.212
2020-05-22 12:00:00	8.895	0.200
2020-05-23 12:00:00	9.003	0.200
2020-05-24 12:00:00	9.217	0.200
2020-05-25 12:00:00	9.338	0.210
2020-05-26 12:00:00	10.053	0.200
2020-05-27 12:00:00	9.985	0.200
2020-05-28 12:00:00	10.092	0.200
2020-05-29 12:00:00	11.161	0.210
2020-05-30 12:00:00	12.469	0.208
2020-05-31 12:00:00	12.587	0.200
2020-06-01 12:00:00	12.733	0.300
2020-06-02 12:00:00	13.056	0.300
2020-06-03 12:00:00	13.299	0.300
2020-06-04 12:00:00	11.669	0.300
2020-06-05 12:00:00	10.875	0.300
2020-06-06 12:00:00	10.752	0.320
2020-06-07 12:00:00	10.814	0.300
2020-06-08 12:00:00	10.415	0.300
2020-06-09 12:00:00	10.450	0.300
2020-06-10 12:00:00	10.749	0.320
2020-06-11 12:00:00	10.921	0.300
2020-06-12 12:00:00	10.885	0.310
2020-06-13 12:00:00	11.178	0.310
2020-06-14 12:00:00	11.267	0.300
2020-06-15 12:00:00	11.812	0.300
2020-06-16 12:00:00	13.725	0.300
2020-06-17 12:00:00	14.697	0.300
2020-06-18 12:00:00	14.368	0.410
2020-06-19 12:00:00	13.875	0.310
2020-06-20 12:00:00	13.819	0.300
2020-06-21 12:00:00	13.050	0.310
2020-06-22 12:00:00	12.801	0.300
2020-06-23 12:00:00	13.790	0.300
2020-06-24 12:00:00	14.518	0.310
2020-06-25 12:00:00	14.963	0.300
2020-06-26 12:00:00	15.212	0.310
2020-06-27 12:00:00	15.213	0.300
2020-06-28 12:00:00	14.760	0.310
2020-06-29 12:00:00	14.372	0.300
2020-06-30 12:00:00	13.873	0.320
2020-07-01 12:00:00	14.095	0.310
2020-07-02 12:00:00	14.267	0.300
2020-07-03 12:00:00	14.297	0.300
2020-07-04 12:00:00	12.725	0.330
2020-07-05 12:00:00	12.760	0.300
2020-07-06 12:00:00	12.730	0.300
2020-07-07 12:00:00	12.642	0.300
2020-07-08 12:00:00	13.106	0.300
2020-07-09 12:00:00	13.320	0.300
2020-07-10 12:00:00	13.745	0.320
2020-07-11 12:00:00	14.107	0.300
2020-07-12 12:00:00	14.129	0.300
2020-07-13 12:00:00	14.029	0.310
2020-07-14 12:00:00	14.590	0.310
2020-07-15 12:00:00	14.446	0.330
2020-07-16 12:00:00	14.323	0.320
2020-07-17 12:00:00	14.482	0.300
2020-07-18 12:00:00	14.591	0.320
2020-07-19 12:00:00	14.608	0.300
2020-07-20 12:00:00	14.921	0.310
2020-07-21 12:00:00	14.966	0.320
2020-07-22 12:00:00	14.984	0.300
2020-07-23 12:00:00	14.948	0.300
2020-07-24 12:00:00	14.938	0.320
